name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"DisplayLeakActivity4.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity4.<init>().140ece4289f7b5f760aeb70a1d914982",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity4.java,9,10,N,"void DisplayLeakActivity4.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity4 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity5.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity5.<init>().abb71ad1dedb58186b340915c0d3352e",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity5.java,9,10,N,"void DisplayLeakActivity5.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity5 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity6.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity6.<init>().08f8a40ebdfcc30da19dac2212bdcc64",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity6.java,9,10,N,"void DisplayLeakActivity6.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity6 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity7.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity7.<init>().e65d8dcf1fe89ba54a4768605a185eb3",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity7.java,9,10,N,"void DisplayLeakActivity7.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity7 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity8.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity8.<init>().7f67f4982e85a7a2cffd4c9f91a3c869",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity8.java,9,10,N,"void DisplayLeakActivity8.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity8 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity9.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity9.<init>().a0e7619dbc353736c329e4f48dbc4a23",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity9.java,9,10,N,"void DisplayLeakActivity9.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity9 *this)",0,0.00,0.00,0,0,9
"ExampleUnitTest.<init>()","com.qihoo.ruletestcases.ExampleUnitTest.<init>().a10843380d03e73293e3cbd23e3266b1",1,0,NONE,18,0,app/src/test/java/com/qihoo/ruletestcases/ExampleUnitTest.java,12,17,N,"void ExampleUnitTest.<init>()(class com.qihoo.ruletestcases.ExampleUnitTest *this)",0,0.00,0.00,0,0,12
"void ExampleUnitTest.addition_isCorrect()","com.qihoo.ruletestcases.ExampleUnitTest.addition_isCorrect():void.fbe8628bac03d467709fa948d0f4be97",1,0,NONE,12,0,app/src/test/java/com/qihoo/ruletestcases/ExampleUnitTest.java,14,17,N,"void void ExampleUnitTest.addition_isCorrect()(class com.qihoo.ruletestcases.ExampleUnitTest *this)",0,0.00,0.00,0,0,14 15 16
"FragmentRuleTest.<init>()","com.qihoo.ruletestcases.FragmentRuleTest.<init>().1145acb358f45f6555138e63e76da511",1,0,NONE,16,0,app/src/main/java/com/qihoo/ruletestcases/FragmentRuleTest.java,19,54,N,"void FragmentRuleTest.<init>()(class com.qihoo.ruletestcases.FragmentRuleTest *this)",0,0.00,0.00,0,0,19
"void FragmentRuleTest.onCreate(Bundle)","com.qihoo.ruletestcases.FragmentRuleTest.onCreate(android.os.Bundle):void.470fbfadc69bb439f4335d0157dc891f",3,0,NONE,349,0,app/src/main/java/com/qihoo/ruletestcases/FragmentRuleTest.java,24,54,N,"void void FragmentRuleTest.onCreate(Bundle)(class com.qihoo.ruletestcases.FragmentRuleTest *this, class android.os.Bundle *savedInstanceState)",0,0.00,0.00,0,0,24 25 26 28 30 31 34 35 36 37 39 45
"void FragmentRuleTest.switchToHeader(String,Bundle)","com.qihoo.ruletestcases.FragmentRuleTest.switchToHeader(java.lang.String,android.os.Bundle):void.d688cdadc9a47fc55cfbb0ce6e208509",1,0,NONE,14,0,app/src/main/java/com/qihoo/ruletestcases/FragmentRuleTest.java,47,54,N,"void void FragmentRuleTest.switchToHeader(String,Bundle)(class com.qihoo.ruletestcases.FragmentRuleTest *this, class java.lang.String *fragmentName, class android.os.Bundle *args)",0,0.00,0.00,0,0,47 49
"LogTypeRuleTest.<init>()","com.qihoo.ruletestcases.LogTypeRuleTest.<init>().665f5bbf71e0a3280ae33ac7575154d9",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/LogTypeRuleTest.java,12,46,N,"void LogTypeRuleTest.<init>()(class com.qihoo.ruletestcases.LogTypeRuleTest *this)",0,0.00,0.00,0,0,12
"void LogTypeRuleTest.test1()","com.qihoo.ruletestcases.LogTypeRuleTest.test1():void.a2dadaa2fe8aaa579ed558a76c5b3568",1,0,NONE,44,0,app/src/main/java/com/qihoo/ruletestcases/LogTypeRuleTest.java,16,46,N,"void void LogTypeRuleTest.test1()(class com.qihoo.ruletestcases.LogTypeRuleTest *this)",0,0.00,0.00,0,0,16 17 18 19
"void LogTypeRuleTest.test2()","com.qihoo.ruletestcases.LogTypeRuleTest.test2():void.1fcfcac05131156d5b75bc5090b34b0d",1,0,NONE,86,0,app/src/main/java/com/qihoo/ruletestcases/LogTypeRuleTest.java,24,46,N,"void void LogTypeRuleTest.test2()(class com.qihoo.ruletestcases.LogTypeRuleTest *this)",0,0.00,0.00,0,0,24 25 27 28 29
"void LogTypeRuleTest.test3()","com.qihoo.ruletestcases.LogTypeRuleTest.test3():void.b823a0dfa76f2459a32926172c6e392a",1,0,NONE,172,0,app/src/main/java/com/qihoo/ruletestcases/LogTypeRuleTest.java,34,46,N,"void void LogTypeRuleTest.test3()(class com.qihoo.ruletestcases.LogTypeRuleTest *this)",0,0.00,0.00,0,0,34 36 37 38 40 41 43 44
"NullPointerTest.<init>()","com.qihoo.ruletestcases.NullPointerTest.<init>().47494611a000b4aad0d3e534c9e8baac",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,13,53,N,"void NullPointerTest.<init>()(class com.qihoo.ruletestcases.NullPointerTest *this)",0,0.00,0.00,0,0,13
"String NullPointerTest.bar(String)","com.qihoo.ruletestcases.NullPointerTest.bar(java.lang.String):java.lang.String.54214dec6662bcdc66750f54ae0366f8",1,0,NONE,39,1,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,27,53,N,"class java.lang.String *String NullPointerTest.bar(String)(class com.qihoo.ruletestcases.NullPointerTest *this, class java.lang.String *string)",0,0.00,0.00,0,0,27 29 30 34
